"genes","symbol","v15.Counts","v32.Counts"
"ENSG00000000003","TSPAN6",48,48
"ENSG00000000005","TNMD",0,0
"ENSG00000000419","DPM1",461,450
"ENSG00000000457","SCYL3",849,767
"ENSG00000000460","C1orf112",718,669
"ENSG00000000938","FGR",2908,2838
"ENSG00000000971","CFH",1979,1959
"ENSG00000001036","FUCA2",912,611
"ENSG00000001084","GCLC",2179,1868
"ENSG00000001167","NFYA",2538,2219
"ENSG00000001460","STPG1",148,145
"ENSG00000001461","NIPAL3",2105,2007
"ENSG00000001497","LAS1L",2016,2363
"ENSG00000001561","ENPP4",875,865
"ENSG00000001617","SEMA3F",14,14
"ENSG00000001626","CFTR",1,1
"ENSG00000001629","ANKIB1",2965,2922
"ENSG00000001630","CYP51A1",113,61
"ENSG00000001631","KRIT1",2280,485
"ENSG00000002016","RAD52",1676,1711
"ENSG00000002079","MYH16",32,31
"ENSG00000002330","BAD",213,94
"ENSG00000002549","LAP3",1236,1221
"ENSG00000002586","CD99",5407,6162
"ENSG00000002587","HS3ST1",163,159
"ENSG00000002726","AOC1",51,49
"ENSG00000002745","WNT16",34,33
"ENSG00000002746","HECW1",6,6
"ENSG00000002822","MAD1L1",817,123
"ENSG00000002834","LASP1",7627,6416
"ENSG00000002919","SNX11",656,662
"ENSG00000002933","TMEM176A",725,701
"ENSG00000003056","M6PR",3742,3442
"ENSG00000003096","KLHL13",342,344
"ENSG00000003137","CYP26B1",54,52
"ENSG00000003147","ICA1",559,528
"ENSG00000003249","DBNDD1",44,43
"ENSG00000003393","ALS2",1401,1380
"ENSG00000003400","CASP10",1655,1622
"ENSG00000003402","CFLAR",11525,10197
"ENSG00000003436","TFPI",1333,1259
"ENSG00000003509","NDUFAF7",680,633
"ENSG00000003756","RBM5",7915,6510
"ENSG00000003987","MTMR7",772,661
"ENSG00000003989","SLC7A2",276,274
"ENSG00000004059","ARF5",1491,1118
"ENSG00000004139","SARM1",1068,814
"ENSG00000004142","POLDIP2",1626,1592
"ENSG00000004399","PLXND1",20770,20308
"ENSG00000004455","AK2",4903,5488
"ENSG00000004468","CD38",4134,4058
"ENSG00000004478","FKBP4",3847,3055
"ENSG00000004487","KDM1A",3519,3467
"ENSG00000004534","RBM6",4271,4218
"ENSG00000004660","CAMKK1",391,379
"ENSG00000004700","RECQL",1016,910
"ENSG00000004766","VPS50",871,862
"ENSG00000004776","HSPB6",13,7
"ENSG00000004777","ARHGAP33",1220,1024
"ENSG00000004779","NDUFAB1",524,521
"ENSG00000004799","PDK4",135,135
"ENSG00000004809","SLC22A16",927,918
"ENSG00000004838","ZMYND10",90,53
"ENSG00000004846","ABCB5",6,6
"ENSG00000004848","ARX",0,1
"ENSG00000004864","SLC25A13",599,593
"ENSG00000004866","ST7",943,605
"ENSG00000004897","CDC27",2050,1863
"ENSG00000004939","SLC4A1",5261,5149
"ENSG00000004948","CALCR",0,0
"ENSG00000004961","HCCS",227,224
"ENSG00000004975","DVL2",1115,1083
"ENSG00000005001","PRSS22",5,5
"ENSG00000005007","UPF1",3376,3310
"ENSG00000005020","SKAP2",3595,3546
"ENSG00000005022","SLC25A5",4456,3855
"ENSG00000005059","MCUB",569,554
"ENSG00000005073","HOXA11",9,9
"ENSG00000005075","POLR2J",396,385
"ENSG00000005100","DHX33",1842,1759
"ENSG00000005102","MEOX1",7,6
"ENSG00000005108","THSD7A",1577,1461
"ENSG00000005156","LIG3",1866,1810
"ENSG00000005175","RPAP3",1119,1104
"ENSG00000005187","ACSM3",1029,962
"ENSG00000005189","REXO5",800,772
"ENSG00000005194","CIAPIN1",845,838
"ENSG00000005206","SPPL2B",3842,3368
"ENSG00000005238","FAM214B",1167,1147
"ENSG00000005243","COPZ2",58,56
"ENSG00000005249","PRKAR2B",1288,1267
"ENSG00000005302","MSL3",1994,2503
"ENSG00000005339","CREBBP",9906,9797
"ENSG00000005379","TSPOAP1",33709,31676
"ENSG00000005381","MPO",83076,81237
"ENSG00000005421","PON1",3,3
"ENSG00000005436","GCFC2",1023,856
"ENSG00000005448","WDR54",265,262
"ENSG00000005469","CROT",269,263
"ENSG00000005471","ABCB4",79,81
"ENSG00000005483","KMT2E",7228,6578
"ENSG00000005486","RHBDD2",954,940
"ENSG00000005513","SOX8",43,42
