"genes","symbol","v15.Counts","v32.Counts","relative_change_v15tov32","relative_change_v32tov15","absolute_change"
"ENSG00000000003","TSPAN6",6,6,NA,NA,0
"ENSG00000000005","TNMD",0,0,NA,NA,0
"ENSG00000000419","DPM1",929,913,0.0172228202368138,0.0175246440306681,16
"ENSG00000000457","SCYL3",777,667,0.141570141570142,0.164917541229385,110
"ENSG00000000460","C1orf112",691,616,0.108538350217077,0.121753246753247,75
"ENSG00000000938","FGR",11509,11232,0.0240681206012686,0.0246616809116809,277
"ENSG00000000971","CFH",62,57,0.0806451612903226,0.087719298245614,5
"ENSG00000001036","FUCA2",1898,1231,0.351422550052687,0.541835905767669,667
"ENSG00000001084","GCLC",1708,1457,0.146955503512881,0.172271791352093,251
"ENSG00000001167","NFYA",2354,2102,0.107051826677995,0.11988582302569,252
"ENSG00000001460","STPG1",105,96,0.0857142857142857,0.09375,9
"ENSG00000001461","NIPAL3",1158,1099,0.0509499136442142,0.0536851683348499,59
"ENSG00000001497","LAS1L",1534,1743,0.136245110821382,0.119908204245554,209
"ENSG00000001561","ENPP4",39,37,0.0512820512820513,0.0540540540540541,2
"ENSG00000001617","SEMA3F",11,12,0.0909090909090909,0.0833333333333333,1
"ENSG00000001626","CFTR",1,1,NA,NA,0
"ENSG00000001629","ANKIB1",2773,2712,0.0219978362783988,0.0224926253687316,61
"ENSG00000001630","CYP51A1",65,19,0.707692307692308,2.42105263157895,46
"ENSG00000001631","KRIT1",2389,566,0.763080786940142,3.2208480565371,1823
"ENSG00000002016","RAD52",1425,1456,0.0217543859649123,0.0212912087912088,31
"ENSG00000002079","MYH16",6,6,NA,NA,0
"ENSG00000002330","BAD",232,124,0.46551724137931,0.870967741935484,108
"ENSG00000002549","LAP3",2389,2349,0.0167434072833822,0.0170285227756492,40
"ENSG00000002586","CD99",6367,6817,0.0706769279095335,0.0660114419832771,450
"ENSG00000002587","HS3ST1",42,36,0.142857142857143,0.166666666666667,6
"ENSG00000002726","AOC1",2,2,NA,NA,0
"ENSG00000002745","WNT16",15,15,0,0,0
"ENSG00000002746","HECW1",4,3,NA,NA,1
"ENSG00000002822","MAD1L1",998,167,0.832665330661323,4.97604790419162,831
"ENSG00000002834","LASP1",9513,7879,0.171764953221907,0.207386724203579,1634
"ENSG00000002919","SNX11",1249,1245,0.00320256204963971,0.00321285140562249,4
"ENSG00000002933","TMEM176A",23,23,0,0,0
"ENSG00000003056","M6PR",4950,4070,0.177777777777778,0.216216216216216,880
"ENSG00000003096","KLHL13",529,527,0.00378071833648393,0.00379506641366224,2
"ENSG00000003137","CYP26B1",0,0,NA,NA,0
"ENSG00000003147","ICA1",246,229,0.0691056910569106,0.074235807860262,17
"ENSG00000003249","DBNDD1",3,2,NA,NA,1
"ENSG00000003393","ALS2",1238,1213,0.0201938610662359,0.0206100577081616,25
"ENSG00000003400","CASP10",2794,2750,0.015748031496063,0.016,44
"ENSG00000003402","CFLAR",16027,14205,0.11368315966806,0.128264695529743,1822
"ENSG00000003436","TFPI",559,495,0.114490161001789,0.129292929292929,64
"ENSG00000003509","NDUFAF7",630,586,0.0698412698412698,0.0750853242320819,44
"ENSG00000003756","RBM5",8770,7114,0.188825541619156,0.232780432949114,1656
"ENSG00000003987","MTMR7",356,303,0.148876404494382,0.174917491749175,53
"ENSG00000003989","SLC7A2",44,42,0.0454545454545455,0.0476190476190476,2
"ENSG00000004059","ARF5",1468,1064,0.275204359673025,0.379699248120301,404
"ENSG00000004139","SARM1",65,42,0.353846153846154,0.547619047619048,23
"ENSG00000004142","POLDIP2",1660,1624,0.0216867469879518,0.0221674876847291,36
"ENSG00000004399","PLXND1",11631,11337,0.025277276244519,0.0259327864514422,294
"ENSG00000004455","AK2",5746,6024,0.048381482770623,0.0461487383798141,278
"ENSG00000004468","CD38",5609,5489,0.0213941879122838,0.0218619056294407,120
"ENSG00000004478","FKBP4",1890,1526,0.192592592592593,0.238532110091743,364
"ENSG00000004487","KDM1A",3462,3384,0.0225303292894281,0.0230496453900709,78
"ENSG00000004534","RBM6",5534,5407,0.0229490422840622,0.0234880710190494,127
"ENSG00000004660","CAMKK1",304,295,0.0296052631578947,0.0305084745762712,9
"ENSG00000004700","RECQL",1577,1387,0.120481927710843,0.136986301369863,190
"ENSG00000004766","VPS50",1007,975,0.0317775571002979,0.0328205128205128,32
"ENSG00000004776","HSPB6",9,2,NA,NA,7
"ENSG00000004777","ARHGAP33",662,543,0.1797583081571,0.219152854511971,119
"ENSG00000004779","NDUFAB1",695,680,0.0215827338129496,0.0220588235294118,15
"ENSG00000004799","PDK4",1441,1403,0.0263705759888966,0.0270848182466144,38
"ENSG00000004809","SLC22A16",674,657,0.0252225519287834,0.0258751902587519,17
"ENSG00000004838","ZMYND10",66,42,0.363636363636364,0.571428571428571,24
"ENSG00000004846","ABCB5",0,0,NA,NA,0
"ENSG00000004848","ARX",2,1,NA,NA,1
"ENSG00000004864","SLC25A13",916,904,0.0131004366812227,0.0132743362831858,12
"ENSG00000004866","ST7",674,422,0.373887240356083,0.597156398104265,252
"ENSG00000004897","CDC27",3675,3424,0.0682993197278912,0.0733060747663551,251
"ENSG00000004939","SLC4A1",89,88,0.0112359550561798,0.0113636363636364,1
"ENSG00000004948","CALCR",0,0,NA,NA,0
"ENSG00000004961","HCCS",580,562,0.0310344827586207,0.0320284697508897,18
"ENSG00000004975","DVL2",696,675,0.0301724137931034,0.0311111111111111,21
"ENSG00000005001","PRSS22",1,2,NA,NA,1
"ENSG00000005007","UPF1",2911,2843,0.0233596702164205,0.0239183960604995,68
"ENSG00000005020","SKAP2",7558,7353,0.0271235776660492,0.0278797769617843,205
"ENSG00000005022","SLC25A5",8517,7365,0.135258893976752,0.156415478615071,1152
"ENSG00000005059","MCUB",1478,1413,0.043978349120433,0.046001415428167,65
"ENSG00000005073","HOXA11",0,0,NA,NA,0
"ENSG00000005075","POLR2J",383,374,0.0234986945169713,0.0240641711229947,9
"ENSG00000005100","DHX33",1322,1264,0.0438729198184569,0.0458860759493671,58
"ENSG00000005102","MEOX1",0,0,NA,NA,0
"ENSG00000005108","THSD7A",416,387,0.0697115384615385,0.0749354005167959,29
"ENSG00000005156","LIG3",2626,2485,0.0536938309215537,0.0567404426559356,141
"ENSG00000005175","RPAP3",892,881,0.0123318385650224,0.0124858115777526,11
"ENSG00000005187","ACSM3",2635,2503,0.0500948766603416,0.052736715940871,132
