"padj","gene","symbol","rank","rank_change"
5.98054067215666e-70,"ENSG00000163464","CXCR1",1,0
2.66644963316365e-57,"ENSG00000129226","CD68",2,26180
1.66441266004243e-56,"ENSG00000162747","FCGR3B",3,-1
2.32707600782164e-56,"ENSG00000132522","GPS2",4,20906
7.12961824990103e-56,"ENSG00000182196","ARL6IP4",5,19617
5.24043178645765e-51,"ENSG00000219200","RNASEK",6,379
6.39280923317714e-46,"ENSG00000157551","KCNJ15",7,-4
3.34369285027563e-45,"ENSG00000170296","GABARAP",8,10206
1.30845244257189e-43,"ENSG00000236438","FAM157A",9,-5
9.76734383425846e-43,"ENSG00000100288","CHKB",10,26113
1.28976264257895e-40,"ENSG00000169564","PCBP1",11,8095
2.86338976089501e-40,"ENSG00000185883","ATP6V0C",12,21273
5.06810156790882e-40,"ENSG00000149925","ALDOA",13,4635
4.1179616947068e-39,"ENSG00000248098","BCKDHA",14,14928
1.67504517150283e-38,"ENSG00000254772","EEF1G",15,NA
1.34820755582506e-37,"ENSG00000271303","SRXN1",16,22526
2.73334794800129e-35,"ENSG00000135083","CCNJL",17,-10
4.59308596277183e-34,"ENSG00000184106","TREML3P",18,-13
3.10346594884454e-33,"ENSG00000213999","MEF2B",19,13415
3.10346594884454e-33,"ENSG00000216490","IFI30",20,5738
1.12247781811556e-32,"ENSG00000198858","R3HDM4",21,-15
1.01292649258622e-30,"ENSG00000173486","FKBP2",22,9018
1.50415891885401e-30,"ENSG00000185900","POMK",23,131
3.04424789637896e-30,"ENSG00000148346","LCN2",24,-16
1.04613821089856e-29,"ENSG00000213977","TAX1BP3",25,34101
2.09561242483342e-29,"ENSG00000092098","RNF31",26,30341
4.28215353226749e-29,"ENSG00000278970","HEIH",27,506
1.62296301686632e-28,"ENSG00000162032","SPSB3",28,24029
6.64300467024397e-28,"ENSG00000112245","PTP4A1",29,15147
1.90654384397955e-27,"ENSG00000124614","RPS10",30,24264
1.96074209698122e-27,"ENSG00000100359","SGSM3",31,26355
7.57261645928813e-27,"ENSG00000204936","CD177",32,-22
8.56700896032902e-27,"ENSG00000157404","KIT",33,-18
9.81329367376746e-27,"ENSG00000138641","HERC3",34,40465
3.43987179657079e-26,"ENSG00000139637","MYG1",35,30971
3.48171555526192e-26,"ENSG00000055955","ITIH4",36,21490
4.34338564425656e-26,"ENSG00000113389","NPR3",37,-18
8.65790679351812e-26,"ENSG00000204435","CSNK2B",38,8568
2.10103596254032e-25,"ENSG00000243678","NME2",39,3417
2.58703644940307e-25,"ENSG00000187838","PLSCR3",40,29056
4.82568853849878e-25,"ENSG00000205307","SAP25",41,30029
6.25309188085534e-25,"ENSG00000126262","FFAR2",42,-30
8.05610045707128e-25,"ENSG00000268734","AC245128.3",43,NA
1.35074583424045e-24,"ENSG00000090238","YPEL3",44,-35
2.60596921269695e-24,"ENSG00000105583","WDR83OS",45,43078
3.09799297206449e-24,"ENSG00000115274","INO80B",46,32268
4.01426830330854e-24,"ENSG00000173535","TNFRSF10C",47,-20
5.12164934419132e-24,"ENSG00000105701","FKBP8",48,-35
2.05506692559106e-23,"ENSG00000143543","JTB",49,7928
4.93272612586196e-23,"ENSG00000272325","NUDT3",50,12310
6.28589278137302e-23,"ENSG00000205560","CPT1B",51,16177
8.84916481155171e-23,"ENSG00000108244","KRT23",52,-29
9.47706009318471e-23,"ENSG00000073578","SDHA",53,31905
9.47706009318471e-23,"ENSG00000171502","COL24A1",54,-17
9.72570623750675e-23,"ENSG00000129355","CDKN2D",55,-33
2.35412627049378e-22,"ENSG00000166333","ILK",56,31600
3.76540392886304e-22,"ENSG00000242616","GNG10",57,19387
5.40617860281715e-22,"ENSG00000099804","CDC34",58,-44
8.31270414778306e-22,"ENSG00000160408","ST6GALNAC6",59,31496
8.51521310119246e-22,"ENSG00000168802","CHTF8",60,24140
1.14517143933212e-21,"ENSG00000130429","ARPC1B",61,23427
3.39042625581472e-21,"ENSG00000244274","DBNDD2",62,40055
5.14147028846796e-21,"ENSG00000262246","CORO7",63,971
5.8944739909881e-21,"ENSG00000214736","TOMM6",64,NA
1.01402579691709e-20,"ENSG00000151651","ADAM8",65,-49
1.02274715540284e-20,"ENSG00000105501","SIGLEC5",66,90
1.26969103397932e-20,"ENSG00000169228","RAB24",67,884
1.29570895727955e-20,"ENSG00000129353","SLC44A2",68,-48
1.4128302573712e-20,"ENSG00000181029","TRAPPC5",69,16762
1.49641975981865e-20,"ENSG00000204160","ZDHHC18",70,-46
1.54274877307833e-20,"ENSG00000211675","IGLC1",71,NA
2.4745725816263e-20,"ENSG00000272573","MUSTN1",72,41484
2.7196684876334e-20,"ENSG00000210196","MT-TP",73,1246
2.74707576165843e-20,"ENSG00000086506","HBQ1",74,6
2.84464740199386e-20,"ENSG00000117984","CTSD",75,151
2.93500441386456e-20,"ENSG00000250506","CDK3",76,25808
4.70722689443589e-20,"ENSG00000122687","MRM2",77,32297
6.26428884312139e-20,"ENSG00000104218","CSPP1",78,6
7.62662336427627e-20,"ENSG00000205220","PSMB10",79,713
7.62662336427627e-20,"ENSG00000213533","STIMATE",80,24708
1.41155670707725e-19,"ENSG00000110025","SNX15",81,42749
1.89343484850135e-19,"ENSG00000186010","NDUFA13",82,28418
1.94907301026843e-19,"ENSG00000104904","OAZ1",83,-43
1.96739387143146e-19,"ENSG00000274012","RN7SL2",84,NA
2.1196164638982e-19,"ENSG00000105404","RABAC1",85,844
2.36214930599336e-19,"ENSG00000156875","MFSD14A",86,14677
2.51780695993097e-19,"ENSG00000225470","JPX",87,27
2.84851060131046e-19,"ENSG00000008516","MMP25",88,-59
5.23420021497131e-19,"ENSG00000213689","TREX1",89,NA
