"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED","GDC2828countsREPROCESSED","GDC2839countsREPROCESSED","padj","symbol","rank","rank_change"
"ENSG00000285417",6,0,12,4595,1561,2923,6.335742983977e-15,"BX571818.1",64,NA
"ENSG00000286071",16,8,9,922,1105,1198,1.7555741364163e-12,"AL136171.2",124,NA
"ENSG00000286051",0,0,0,2418,482,6603,3.64003364002304e-12,"AC244102.3",137,NA
"ENSG00000129682",34,32,509,4,4,1,2.18581881274502e-09,"FGF13",294,NA
"ENSG00000286742",2,3,0,819,445,3285,2.68584409214097e-09,"AC000065.1",296,NA
"ENSG00000286153",7,1,16,484,872,957,4.74225117885797e-09,"AP000331.1",323,NA
"ENSG00000286616",2,1,3,306,187,289,9.82087885252772e-09,"AL008730.1",374,NA
"ENSG00000286545",3,4,2,287,237,334,1.30150963061507e-08,"AC092645.2",398,NA
"ENSG00000287195",18,7,10,1402,2177,507,1.34978752977208e-08,"AC131568.1",402,NA
"ENSG00000283208",5,6,4,331,282,439,1.35970162884857e-08,"AC001226.2",403,NA
"ENSG00000287932",0,0,0,323,121,999,5.76080357401143e-08,"AC000065.2",518,NA
"ENSG00000204389",16939,2396,3445,673,733,929,1.59258666717426e-07,"HSPA1A",600,NA
"ENSG00000260007",5,12,22,498,395,367,2.10278757189976e-07,"AC107871.1",626,NA
"ENSG00000107317",114,657,39,19,4,1,5.63421775524599e-07,"PTGDS",750,NA
"ENSG00000285692",0,0,0,93,204,135,1.01482878856826e-06,"AC023509.6",845,NA
"ENSG00000285650",1,0,0,193,195,191,1.19612316271693e-06,"AL157827.2",869,NA
"ENSG00000287255",24,248,1325,40,7,5,1.36145002186939e-06,"AC007877.1",902,NA
"ENSG00000286341",6,5,6,278,622,187,1.36367162687625e-06,"AP002762.3",903,NA
"ENSG00000198892",524,57,135,42,11,18,1.88834850582572e-06,"SHISA4",955,NA
"ENSG00000287408",0,0,1,225,223,132,1.88899789094708e-06,"AC027811.1",957,NA
"ENSG00000287555",7,2,8,195,233,314,1.97693249811977e-06,"AC023424.2",962,NA
"ENSG00000286320",3,3,1,217,151,439,2.01338393700062e-06,"AC108053.1",964,NA
"ENSG00000286512",2,0,12,303,290,449,3.44882740709878e-06,"AL031768.2",1051,NA
"ENSG00000287771",20,11,285,4,0,0,4.41836787192176e-06,"AC007271.1",1104,NA
"ENSG00000288048",1,0,2,757,43,564,4.50624521093654e-06,"AC104088.3",1112,NA
"ENSG00000235655",713,612,7580,207,491,319,4.74421535228675e-06,"H3P6",1124,NA
"ENSG00000286550",2,0,1,116,142,203,8.13428247195687e-06,"AL591002.1",1272,NA
"ENSG00000285303",0,0,0,46,330,122,8.14381436849779e-06,"AC004381.4",1275,NA
"ENSG00000287680",8,3,1,440,204,383,1.14844822252706e-05,"AC093330.3",1370,NA
"ENSG00000285803",2,0,2,126,169,101,1.25883335822423e-05,"AL442003.1",1393,NA
"ENSG00000286672",2,0,0,159,130,223,1.29275667323261e-05,"AL096712.2",1403,NA
"ENSG00000287945",0,0,0,57,124,91,1.40570911099473e-05,"AL603824.1",1435,NA
"ENSG00000286245",0,0,0,55,90,158,1.43374537073841e-05,"AC125437.3",1438,NA
"ENSG00000285774",30,15,9,1,2,1,1.48585564885297e-05,"AL133444.1",1449,NA
"ENSG00000168314",13,7,257,4,3,0,1.79403828534198e-05,"MOBP",1514,NA
"ENSG00000285999",4,4,17,161,396,395,1.80447017174271e-05,"AC025442.2",1518,NA
"ENSG00000271821",8,9,65,2,1,0,1.82383867475387e-05,"AL662844.3",1522,NA
"ENSG00000286214",15,6,53,841,670,593,1.95912192933547e-05,"AUXG01000058.1",1546,NA
"ENSG00000287727",1,2,0,138,106,145,2.15016635284024e-05,"AL139423.2",1578,NA
"ENSG00000203811",46,80,12,6,0,5,2.35468438378713e-05,"H3C14",1613,NA
"ENSG00000287351",4,3,0,158,277,203,2.38746886412608e-05,"AC092120.3",1619,NA
"ENSG00000288065",1,0,5,130,130,125,2.42714520397015e-05,"AC007881.4",1628,NA
"ENSG00000157654",115,190,141,2545,4036,4236,3.07160600849257e-05,"PALM2AKAP2",1699,NA
"ENSG00000091583",86,1,9,0,0,0,3.34639111757765e-05,"APOH",1734,NA
"ENSG00000288032",0,0,0,56,71,86,3.36573202466313e-05,"AC104472.5",1740,NA
"ENSG00000286912",0,0,0,196,26,127,3.89062365738242e-05,"AC006008.1",1780,NA
"ENSG00000286864",8,0,0,575,543,479,3.99102505599755e-05,"AC012076.1",1788,NA
"ENSG00000285966",23,46,8,0,1,4,4.84877748893836e-05,"AC007686.4",1853,NA
"ENSG00000287125",1,3,0,233,165,84,5.1762148494825e-05,"AC018695.9",1867,NA
"ENSG00000287044",0,0,0,52,57,103,5.59407468483289e-05,"AL139106.1",1893,NA
"ENSG00000286825",3,0,0,103,210,142,6.26298502448016e-05,"AL096870.10",1957,NA
"ENSG00000287403",0,0,0,37,81,107,6.5698649190768e-05,"AC016245.2",1978,NA
"ENSG00000284770",16,1,10,362,503,448,6.61656402936972e-05,"TBCE",1981,NA
"ENSG00000287613",0,2,0,129,85,235,7.75502274172329e-05,"AC069549.2",2035,NA
"ENSG00000286481",12,49,7,2,0,0,7.84866180699825e-05,"AC011246.1",2046,NA
"ENSG00000285979",46,31,30,904,806,628,8.92270830628004e-05,"AC009090.6",2087,NA
"ENSG00000286997",11,2,4,206,240,587,9.22215294486374e-05,"AC005856.1",2097,NA
"ENSG00000281591",0,0,0,12,42,808,9.42580730533628e-05,"DBET",2102,NA
"ENSG00000287608",4,0,0,202,123,167,9.59552276138756e-05,"AC022137.3",2111,NA
"ENSG00000286715",1,0,0,98,91,75,0.000101837501947157,"AL589863.2",2133,NA
"ENSG00000287087",1,0,0,104,79,79,0.000108662368043462,"AC025175.2",2171,NA
"ENSG00000272980",1,0,0,64,97,117,0.000117503083759668,"Z94721.2",2218,NA
