"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED","GDC2828countsREPROCESSED","GDC2839countsREPROCESSED","padj","symbol","rank","rank_change"
"ENSG00000163464",12193,20430,95467,15,10,18,5.26100692389012e-69,"CXCR1",1,0
"ENSG00000162747",9192,7385,35265,12,38,20,1.90576660386976e-56,"FCGR3B",2,1
"ENSG00000157551",1227,2227,7541,18,15,10,6.67987128681538e-45,"KCNJ15",3,4
"ENSG00000236438",935,549,1788,29,30,29,7.41811611111632e-44,"FAM157A",4,5
"ENSG00000184106",311,288,957,6,7,5,4.5399765302996e-36,"TREML3P",5,13
"ENSG00000198858",22229,12733,33248,1944,1724,1560,5.45471578003817e-36,"R3HDM4",6,15
"ENSG00000135083",835,1353,2630,29,16,7,6.40899108510354e-36,"CCNJL",7,10
"ENSG00000148346",7056,871,28306,12,15,14,7.04798047474609e-30,"LCN2",8,16
"ENSG00000090238",7631,5230,10759,1328,847,984,2.64802613622206e-26,"YPEL3",9,35
"ENSG00000204936",1636,10916,251070,1,0,2,7.50708945298712e-26,"CD177",10,22
"ENSG00000077522",189,168,259,2,7,3,2.70888400656275e-25,"ACTN2",11,87
"ENSG00000126262",1151,2677,19899,18,40,24,3.13175081390158e-24,"FFAR2",12,30
"ENSG00000105701",67468,73073,45019,4029,2994,3126,3.34468822416323e-24,"FKBP8",13,35
"ENSG00000099804",2486,2065,3351,547,448,336,4.34279640408633e-24,"CDC34",14,44
"ENSG00000157404",22,13,20,13592,3907,9866,8.19332321861834e-24,"KIT",15,18
"ENSG00000151651",6810,5498,19388,911,805,1152,1.55264618937317e-23,"ADAM8",16,49
"ENSG00000198125",715,385,326,2,1,4,2.26139091197022e-23,"MB",17,82
"ENSG00000219507",183,137,284,7,16,8,2.48255719060718e-23,"FTH1P8",18,110
"ENSG00000113389",8,6,6,8030,2130,7577,2.52330614233185e-22,"NPR3",19,18
"ENSG00000129353",5794,5056,14345,1538,1602,1580,6.05394478573368e-22,"SLC44A2",20,48
"ENSG00000143632",4158,1193,953,14,31,14,2.48251078309897e-21,"ACTA1",21,89
"ENSG00000129355",1661,2595,6695,384,373,242,4.34313627874833e-21,"CDKN2D",22,33
"ENSG00000108244",255,479,1758,2,0,1,5.26818995277382e-21,"KRT23",23,29
"ENSG00000204160",5375,4300,16548,1066,1036,788,1.2159787949148e-20,"ZDHHC18",24,46
"ENSG00000176208",36,27,54,2235,2723,2439,1.27434738581425e-20,"ATAD5",25,111
"ENSG00000234975",115,87,191,10,17,11,2.01220883487356e-19,"FTH1P2",26,1378
"ENSG00000173535",805,2580,9781,81,18,42,6.9862976098375e-19,"TNFRSF10C",27,20
"ENSG00000159346",19639,16317,21194,3235,3488,1816,7.51059079868057e-19,"ADIPOR1",28,64
"ENSG00000008516",7249,7167,51654,271,391,67,2.71160951771052e-18,"MMP25",29,59
"ENSG00000100453",4006,4146,1416,106,38,22,5.21551146972791e-18,"GZMB",30,65
"ENSG00000092054",1390,608,538,0,2,0,6.47261017480344e-18,"MYH7",31,130
"ENSG00000180871",7676,10572,47694,37,192,356,6.47261017480344e-18,"CXCR2",32,62
"ENSG00000185262",2806,3284,7808,1152,872,1108,6.47261017480344e-18,"UBALD2",33,79
"ENSG00000268903",995,892,5008,9,51,9,7.25465152210426e-18,"AL627309.6",34,179
"ENSG00000124102",484,132,435,1,2,0,1.63983728239713e-17,"PI3",35,81
"ENSG00000132846",19,11,32,1349,1497,1661,1.71198126686021e-17,"ZBED3",36,120
"ENSG00000171502",3,3,13,6351,1598,2131,3.12623055457586e-17,"COL24A1",37,17
"ENSG00000105967",51,96,161,5895,7939,6812,4.24711593527449e-17,"TFEC",38,88
"ENSG00000114854",145,138,100,7,7,5,4.24711593527449e-17,"TNNC1",39,254
"ENSG00000104904",18549,25637,40555,6352,8492,5311,4.81685976202671e-17,"OAZ1",40,43
"ENSG00000130592",13704,9296,29411,3109,1964,3355,5.09922129274664e-17,"LSP1",41,56
"ENSG00000196091",432,206,348,0,3,8,7.78115210990454e-17,"MYBPC1",42,240
"ENSG00000099785",2347,1469,4080,413,633,378,9.09208158834501e-17,"MARCHF2",43,89
"ENSG00000197893",189,119,159,0,1,3,1.82114849472147e-16,"NRAP",44,282
"ENSG00000158828",602,693,1538,244,288,266,1.85324797529959e-16,"PINK1",45,74
"ENSG00000229314",189,127,860,9,11,2,2.35737370039183e-16,"ORM1",46,72
"ENSG00000196843",3881,3549,11519,1430,962,1166,3.27279094521615e-16,"ARID5A",47,129
"ENSG00000122367",152,56,140,4,5,6,4.23457223839029e-16,"LDB3",48,377
"ENSG00000111245",505,323,333,0,0,1,6.85399562118376e-16,"MYL2",49,166
"ENSG00000185559",6,4,10,793,616,908,6.87905718009975e-16,"DLK1",50,259
"ENSG00000114626",6409,10000,41276,1556,1119,1408,6.9804023526534e-16,"ABTB1",51,119
"ENSG00000087086",122112,103511,189001,19923,29600,10712,7.96319935622848e-16,"FTL",52,81
"ENSG00000274173",81,497,1040,5,0,3,9.15022060050516e-16,"AL035661.1",53,77
"ENSG00000151726",22423,20774,149545,3587,2546,1981,1.16104181607985e-15,"ACSL1",54,104
"ENSG00000226608",677,926,1286,59,153,51,1.32969518035228e-15,"FTLP3",55,769
"ENSG00000106823",8,8,13,678,918,729,1.6052687568621e-15,"ECM2",56,46
"ENSG00000035664",1049,580,1841,253,129,128,2.2791468173983e-15,"DAPK2",57,98
"ENSG00000122778",3,1,12,1940,1208,948,2.55257266078723e-15,"KIAA1549",58,49
"ENSG00000162366",1220,878,556,35,3,11,3.74662116240266e-15,"PDZK1IP1",59,83
"ENSG00000070495",1910,1827,4593,943,782,951,3.85479967141949e-15,"JMJD6",60,170
"ENSG00000081923",18,17,21,1299,2304,1333,4.27159167994408e-15,"ATP8B1",61,585
"ENSG00000139618",28,24,60,1633,2667,1916,4.27159167994408e-15,"BRCA2",62,117
"ENSG00000185201",24617,35116,216514,4208,1282,2243,5.33226740300021e-15,"IFITM2",63,74
"ENSG00000285417",6,0,12,4595,1561,2923,6.335742983977e-15,"BX571818.1",64,NA
"ENSG00000156802",108,104,160,4167,3974,3463,8.22745505623113e-15,"ATAD2",65,120
"ENSG00000135924",2396,1215,2034,369,403,301,9.2045527414543e-15,"DNAJB2",66,145
"ENSG00000008438",2002,837,2009,110,15,29,1.04772689639434e-14,"PGLYRP1",67,126
"ENSG00000213654",10246,10890,46577,2514,3105,1994,1.16170781316561e-14,"GPSM3",68,110
"ENSG00000232187",142,136,409,17,31,9,1.30517531148717e-14,"FTH1P7",69,1321
"ENSG00000022840",12037,11720,40543,4751,4081,4378,1.32314755289753e-14,"RNF10",70,79
"ENSG00000155189",85,69,109,3124,3127,3484,1.32314755289753e-14,"AGPAT5",71,63
"ENSG00000007062",8,5,3,9926,939,9166,1.60381348994101e-14,"PROM1",72,123
"ENSG00000140932",238,663,3703,21,6,31,2.06549230444816e-14,"CMTM2",73,116
"ENSG00000132471",9721,4497,14666,1905,2244,1449,2.07009496262685e-14,"WBP2",74,142
"ENSG00000115590",1535,21445,251167,145,113,5,2.35348541195551e-14,"IL1R2",75,122
"ENSG00000119121",94,184,122,9,10,14,2.37153933387916e-14,"TRPM6",76,111
"ENSG00000143774",12395,8405,8383,2056,1378,1151,2.46260243839691e-14,"GUK1",77,115
"ENSG00000187608",256,231,585,116,116,80,4.31433541326194e-14,"ISG15",78,106
"ENSG00000214456",207,946,2249,26,57,18,4.32879022867941e-14,"PLIN5",79,73
"ENSG00000086506",480,1110,408,34,7,28,5.217347410941e-14,"HBQ1",80,-6
"ENSG00000109061",465,330,175,1,0,0,5.33690579314425e-14,"MYH1",81,197
"ENSG00000103569",6406,18023,88377,196,534,27,5.46812434231164e-14,"AQP9",82,92
"ENSG00000173641",108,153,187,0,1,1,5.46812434231164e-14,"HSPB7",83,218
"ENSG00000104218",86,73,148,3596,2871,4057,7.35532482514262e-14,"CSPP1",84,-6
"ENSG00000198554",23,25,35,1083,1213,1055,7.36569454431818e-14,"WDHD1",85,77
"ENSG00000168309",76,124,630,5,10,2,7.41655938078137e-14,"FAM107A",86,330
"ENSG00000221957",226,159,97,1,4,0,9.38481783454498e-14,"KIR2DS4",87,63
"ENSG00000116299",944,787,957,57,4,21,9.70988473395839e-14,"ELAPOR1",88,92
"ENSG00000105835",21304,38257,221010,3888,4582,1824,1.27771340259008e-13,"NAMPT",89,179
"ENSG00000131095",311,186,810,5,10,31,1.34446196307726e-13,"GFAP",90,622
"ENSG00000050165",69,131,224,18,5,6,1.45100970387871e-13,"DKK3",91,684
"ENSG00000236562",79,38,205,5,2,1,1.45420206983277e-13,"IFITM3P1",92,1259
"ENSG00000102098",13,5,8,1358,837,1009,1.57145239168631e-13,"SCML2",93,141
"ENSG00000258819",53,275,130,2,1,2,2.04680746012729e-13,"LINC02289",94,438
"ENSG00000154553",43,77,80,6,5,2,2.50632288503214e-13,"PDLIM3",95,262
"ENSG00000079393",97,41,178,4,0,2,2.56181060633905e-13,"DUSP13",96,169
"ENSG00000103154",91,110,284,2,0,0,2.56181060633905e-13,"NECAB2",97,183
"ENSG00000185043",1249,1354,2373,655,791,764,2.76649502994944e-13,"CIB1",98,304
"ENSG00000246859",7,3,10,1487,543,1611,3.38515868673871e-13,"STARD4-AS1",99,40
"ENSG00000189067",15999,13869,80658,4252,2730,3480,3.70970482095398e-13,"LITAF",100,117
"ENSG00000132376",1658,1341,2797,970,979,882,3.88566922250155e-13,"INPP5K",101,213
"ENSG00000060749",64,80,78,3108,3580,3527,4.26711159738539e-13,"QSER1",102,105
"ENSG00000167768",1599,1010,98,6,6,0,4.33018032993971e-13,"KRT1",103,135
"ENSG00000134668",116,56,83,1,4,5,4.56638637719662e-13,"SPOCD1",104,119
"ENSG00000142731",14,12,13,777,1152,882,4.6138329988073e-13,"PLK4",105,58
"ENSG00000068971",1014,648,1508,263,378,212,4.98377105672893e-13,"PPP2R5B",106,202
"ENSG00000173110",8520,1516,8372,24,113,3,4.98377105672893e-13,"HSPA6",107,121
"ENSG00000173868",5396,4657,2167,157,263,38,4.98377105672893e-13,"PHOSPHO1",108,127
"ENSG00000149639",103,63,138,4028,6592,4058,5.16800873445896e-13,"SOGA1",109,122
"ENSG00000149289",6,6,27,2044,943,2740,5.63438018875658e-13,"ZC3H12C",110,123
"ENSG00000204592",49730,53724,129569,19638,22267,10076,5.63438018875658e-13,"HLA-E",111,116
"ENSG00000104879",2735,1531,655,11,60,60,5.9923317862801e-13,"CKM",112,308
"ENSG00000163507",19,20,27,1034,1059,773,6.37075741167955e-13,"CIP2A",113,75
"ENSG00000225470",14,7,7,1179,1233,2461,8.90405470501817e-13,"JPX",114,-27
"ENSG00000115607",1675,5936,40574,328,48,61,9.25502947434128e-13,"IL18RAP",115,130
"ENSG00000214688",77,81,169,32,19,15,9.77168984790265e-13,"C10orf105",116,66
"ENSG00000106484",24,6,33,1652,2098,1714,1.03505770645375e-12,"MEST",117,947
"ENSG00000147872",15575,5285,7703,1214,1215,820,1.07830115972521e-12,"PLIN2",118,151
"ENSG00000168530",209,149,67,0,0,0,1.07830115972521e-12,"MYL1",119,250
"ENSG00000130165",749,718,1038,404,394,388,1.30009882395436e-12,"ELOF1",120,179
"ENSG00000178295",51,32,66,2378,2590,1556,1.55673593702101e-12,"GEN1",121,177
"ENSG00000184481",1630,1201,2076,599,464,680,1.58873043295782e-12,"FOXO4",122,191
"ENSG00000152463",13,906,5694,5,1,4,1.60240605866855e-12,"OLAH",123,143
"ENSG00000286071",16,8,9,922,1105,1198,1.7555741364163e-12,"AL136171.2",124,NA
"ENSG00000034152",5458,3777,10684,2812,2690,2350,1.95805708660878e-12,"MAP2K3",125,165
"ENSG00000127084",8854,6902,23100,3406,4012,2329,2.09768327528868e-12,"FGD3",126,151
"ENSG00000124766",57,31,106,2814,5511,7408,2.23437778592241e-12,"SOX4",127,159
"ENSG00000066279",25,7,12,1837,3406,1960,2.5481315727419e-12,"ASPM",128,12
"ENSG00000159173",450,111,61,2,1,1,2.5481315727419e-12,"TNNI1",129,300
"ENSG00000051341",22,5,20,1610,2039,1266,2.64734141204268e-12,"POLQ",130,30
"ENSG00000239474",44,70,126,3,2,9,2.76249113361529e-12,"KLHL41",131,55
"ENSG00000139890",156,305,498,60,17,24,2.91528074849706e-12,"REM2",132,138
"ENSG00000175003",62,35,110,3,4,0,2.98506834628952e-12,"SLC22A1",133,234
"ENSG00000136205",143,194,307,7224,7218,4979,3.17132122696803e-12,"TNS3",134,105
"ENSG00000172270",10129,7886,17350,5422,4962,3209,3.35120977576311e-12,"BSG",135,172
"ENSG00000164309",133,188,365,48,13,27,3.61681820745917e-12,"CMYA5",136,556
"ENSG00000286051",0,0,0,2418,482,6603,3.64003364002304e-12,"AC244102.3",137,NA
"ENSG00000128340",16055,17423,54705,6951,7741,8455,3.66028525402873e-12,"RAC2",138,138
"ENSG00000281344",1,4,7,425,810,953,4.75804683909055e-12,"HELLPAR",139,52
"ENSG00000119969",46,43,37,3249,3100,1897,5.56059517976811e-12,"HELLS",140,148
"ENSG00000173846",2059,2280,2797,1147,1027,781,5.62784828183765e-12,"PLK3",141,122
"ENSG00000196923",3941,2984,6768,1489,542,666,5.70515767117559e-12,"PDLIM7",142,243
"ENSG00000013306",46603,39787,9269,2592,1334,1139,6.39495956848175e-12,"SLC25A39",143,146
"ENSG00000144792",8,4,13,703,620,1375,6.39495956848175e-12,"ZNF660",144,172
"ENSG00000170525",10437,5449,42112,1594,1850,668,6.51737761055125e-12,"PFKFB3",145,158
"ENSG00000168878",157,111,140,35,28,17,6.56888176775544e-12,"SFTPB",146,1813
"ENSG00000177791",232,81,50,3,2,3,6.79304183638403e-12,"MYOZ1",147,374
"ENSG00000186439",51,44,64,0,3,2,6.99185848784709e-12,"TRDN",148,837
"ENSG00000243772",145,150,50,6,7,5,7.07922418313718e-12,"KIR2DL3",149,49
"ENSG00000173894",5,4,4,2443,429,1227,7.9374617499701e-12,"CBX2",150,108
"ENSG00000116641",43,20,80,2163,1919,2170,8.2761725497681e-12,"DOCK7",151,203
"ENSG00000227507",1823,711,1382,265,125,92,8.75056670375014e-12,"LTB",152,227
"ENSG00000118276",11,3,21,1768,926,3220,9.17371737278714e-12,"B4GALT6",153,-39
"ENSG00000185900",81,96,139,5302,5647,2724,9.38316636305906e-12,"POMK",154,-131
"ENSG00000124731",4815,6288,11943,1085,1958,570,9.4986048868907e-12,"TREM1",155,385
"ENSG00000105501",192,124,752,34,44,18,9.85624139107812e-12,"SIGLEC5",156,-90
"ENSG00000185480",9,6,8,466,602,558,9.95376910400913e-12,"PARPBP",157,333
"ENSG00000131669",6534,3649,6475,1034,629,219,1.10536079106734e-11,"NINJ1",158,163
"ENSG00000152137",24,79,89,2,2,2,1.10536079106734e-11,"HSPB8",159,398
"ENSG00000169180",17305,16605,91204,6087,4912,3518,1.10536079106734e-11,"XPO6",160,185
"ENSG00000206172",146011,76520,9166,253,0,34,1.10536079106734e-11,"HBA1",161,16
"ENSG00000134986",4,1,8,680,425,993,1.3297352964544e-11,"NREP",162,12387
"ENSG00000223960",68,48,76,2354,2199,3202,1.35250894385943e-11,"CHROMR",163,43
