"padj","gene","symbol","rank","rank_change"
5.26100692389012e-69,"ENSG00000163464","CXCR1",1,0
1.90576660386976e-56,"ENSG00000162747","FCGR3B",2,1
6.67987128681538e-45,"ENSG00000157551","KCNJ15",3,4
7.41811611111632e-44,"ENSG00000236438","FAM157A",4,5
4.5399765302996e-36,"ENSG00000184106","TREML3P",5,13
5.45471578003817e-36,"ENSG00000198858","R3HDM4",6,15
6.40899108510354e-36,"ENSG00000135083","CCNJL",7,10
7.04798047474609e-30,"ENSG00000148346","LCN2",8,16
2.64802613622206e-26,"ENSG00000090238","YPEL3",9,35
7.50708945298712e-26,"ENSG00000204936","CD177",10,22
2.70888400656275e-25,"ENSG00000077522","ACTN2",11,87
3.13175081390158e-24,"ENSG00000126262","FFAR2",12,30
3.34468822416323e-24,"ENSG00000105701","FKBP8",13,35
4.34279640408633e-24,"ENSG00000099804","CDC34",14,44
8.19332321861834e-24,"ENSG00000157404","KIT",15,18
1.55264618937317e-23,"ENSG00000151651","ADAM8",16,49
2.26139091197022e-23,"ENSG00000198125","MB",17,82
2.48255719060718e-23,"ENSG00000219507","FTH1P8",18,110
2.52330614233185e-22,"ENSG00000113389","NPR3",19,18
6.05394478573368e-22,"ENSG00000129353","SLC44A2",20,48
2.48251078309897e-21,"ENSG00000143632","ACTA1",21,89
4.34313627874833e-21,"ENSG00000129355","CDKN2D",22,33
5.26818995277382e-21,"ENSG00000108244","KRT23",23,29
1.2159787949148e-20,"ENSG00000204160","ZDHHC18",24,46
1.27434738581425e-20,"ENSG00000176208","ATAD5",25,111
2.01220883487356e-19,"ENSG00000234975","FTH1P2",26,1378
6.9862976098375e-19,"ENSG00000173535","TNFRSF10C",27,20
7.51059079868057e-19,"ENSG00000159346","ADIPOR1",28,64
2.71160951771052e-18,"ENSG00000008516","MMP25",29,59
5.21551146972791e-18,"ENSG00000100453","GZMB",30,65
6.47261017480344e-18,"ENSG00000092054","MYH7",31,130
6.47261017480344e-18,"ENSG00000180871","CXCR2",32,62
6.47261017480344e-18,"ENSG00000185262","UBALD2",33,79
7.25465152210426e-18,"ENSG00000268903","AL627309.6",34,179
1.63983728239713e-17,"ENSG00000124102","PI3",35,81
1.71198126686021e-17,"ENSG00000132846","ZBED3",36,120
3.12623055457586e-17,"ENSG00000171502","COL24A1",37,17
4.24711593527449e-17,"ENSG00000105967","TFEC",38,88
4.24711593527449e-17,"ENSG00000114854","TNNC1",39,254
4.81685976202671e-17,"ENSG00000104904","OAZ1",40,43
5.09922129274664e-17,"ENSG00000130592","LSP1",41,56
7.78115210990454e-17,"ENSG00000196091","MYBPC1",42,240
9.09208158834501e-17,"ENSG00000099785","MARCHF2",43,89
1.82114849472147e-16,"ENSG00000197893","NRAP",44,282
1.85324797529959e-16,"ENSG00000158828","PINK1",45,74
2.35737370039183e-16,"ENSG00000229314","ORM1",46,72
3.27279094521615e-16,"ENSG00000196843","ARID5A",47,129
4.23457223839029e-16,"ENSG00000122367","LDB3",48,377
6.85399562118376e-16,"ENSG00000111245","MYL2",49,166
6.87905718009975e-16,"ENSG00000185559","DLK1",50,259
6.9804023526534e-16,"ENSG00000114626","ABTB1",51,119
