"","GTExN7MScountsPUBLISHED","GTExN7MScountsREPROCESSED","GTExNFK9countsPUBLISHED","GTExNFK9countsREPROCESSED","GTExO5YTcountsPUBLISHED","GTExO5YTcountsREPROCESSED"
"ENSG00000000003",4,2,32,17,47,34
"ENSG00000000005",0,0,0,0,0,0
"ENSG00000000419",125,88,406,244,1618,899
"ENSG00000000457",201,106,242,130,1179,585
"ENSG00000000460",73,47,65,37,139,89
"ENSG00000000938",16696,10474,15785,9488,167865,94273
"ENSG00000000971",45,34,396,252,75,70
"ENSG00000001036",255,113,352,189,605,275
"ENSG00000001084",295,156,441,207,319,175
"ENSG00000001167",1329,735,674,363,1040,574
"ENSG00000001460",69,37,52,33,80,46
"ENSG00000001461",572,360,285,168,619,377
"ENSG00000001497",744,482,539,326,519,326
"ENSG00000001561",139,75,268,153,561,307
"ENSG00000001617",17,14,151,98,16,11
"ENSG00000001626",0,1,0,3,0,1
"ENSG00000001629",340,196,308,180,619,339
"ENSG00000001630",12,10,7,0,19,1
"ENSG00000001631",167,34,121,23,468,61
"ENSG00000002016",130,105,40,30,143,120
"ENSG00000002079",0,2,0,1,11,5
"ENSG00000002330",133,31,215,43,972,119
"ENSG00000002549",836,474,956,542,2829,1537
"ENSG00000002586",5226,2941,6204,3634,2571,1459
"ENSG00000002587",4,5,18,10,8,7
"ENSG00000002726",99,54,38,24,8,5
"ENSG00000002745",11,8,1,1,0,0
"ENSG00000002746",2,2,0,0,37,29
"ENSG00000002822",960,69,1035,71,600,15
"ENSG00000002834",5382,2837,6022,3194,36169,17912
"ENSG00000002919",336,221,550,328,4587,2555
"ENSG00000002933",524,297,470,284,566,318
"ENSG00000003056",1303,747,1200,673,2297,1201
"ENSG00000003096",8,4,28,16,6,7
"ENSG00000003137",4,7,5,6,6,7
"ENSG00000003147",93,47,54,30,816,415
"ENSG00000003249",62,40,24,16,40,34
"ENSG00000003393",155,108,209,124,685,411
"ENSG00000003400",1239,773,1017,604,2675,1497
"ENSG00000003402",5603,3114,10144,5645,47387,24098
"ENSG00000003436",21,22,152,91,238,144
"ENSG00000003509",110,82,211,133,959,626
"ENSG00000003756",2925,1958,2334,1315,7794,3857
"ENSG00000003987",24,15,9,6,54,39
"ENSG00000003989",4,3,36,27,37,36
"ENSG00000004059",1280,701,1947,969,10163,4450
"ENSG00000004139",157,85,162,68,82,35
"ENSG00000004142",1015,568,992,579,3212,1829
"ENSG00000004399",1638,1174,1318,816,1309,773
"ENSG00000004455",1810,1269,1639,942,2553,1535
"ENSG00000004468",592,333,199,124,306,174
"ENSG00000004478",1705,1181,530,274,1056,521
"ENSG00000004487",727,513,702,458,915,572
"ENSG00000004534",3868,2322,1395,810,4439,2525
"ENSG00000004660",527,368,811,500,3826,2241
"ENSG00000004700",249,124,265,138,450,222
"ENSG00000004766",127,82,170,102,504,284
"ENSG00000004776",159,60,22,10,27,18
"ENSG00000004777",485,291,287,180,168,112
"ENSG00000004779",152,98,285,181,424,247
"ENSG00000004799",275,230,694,457,1425,1106
"ENSG00000004809",108,57,57,32,58,33
"ENSG00000004838",59,34,36,23,64,39
"ENSG00000004846",0,1,0,0,2,2
"ENSG00000004848",0,0,0,0,2,1
"ENSG00000004864",282,198,83,54,158,97
"ENSG00000004866",197,98,193,105,208,99
"ENSG00000004897",495,308,572,323,1534,862
"ENSG00000004939",25178,13866,9242,5450,3621,2068
"ENSG00000004948",0,0,0,0,1,1
"ENSG00000004961",158,85,249,138,818,455
"ENSG00000004975",458,282,599,371,574,352
"ENSG00000005001",13,13,7,4,1,0
"ENSG00000005007",3347,1919,3173,1876,8873,4997
"ENSG00000005020",1358,780,2665,1501,17038,9356
"ENSG00000005022",2833,1343,3509,1700,4889,2336
"ENSG00000005059",465,341,353,231,502,295
"ENSG00000005073",0,0,0,1,0,0
"ENSG00000005075",511,297,584,350,2017,1156
"ENSG00000005100",136,74,182,105,237,148
"ENSG00000005102",11,5,2,1,27,13
"ENSG00000005108",2,2,1,2,12,9
"ENSG00000005156",520,376,325,242,491,345
"ENSG00000005175",170,101,504,306,763,423
"ENSG00000005187",74,45,41,26,93,63
"ENSG00000005189",49,28,12,7,22,22
"ENSG00000005194",289,181,743,430,888,525
"ENSG00000005206",1637,953,1064,571,1626,820
"ENSG00000005238",2846,1685,2774,1626,10167,5711
"ENSG00000005243",47,27,106,62,17,18
"ENSG00000005249",397,216,605,346,547,326
"ENSG00000005302",1556,1250,2675,1818,24130,14203
"ENSG00000005339",4655,2891,2674,1553,5996,3381
"ENSG00000005379",1242,805,810,507,283,207
"ENSG00000005381",13410,7390,167,102,362,206
"ENSG00000005421",26,13,0,0,0,0
"ENSG00000005436",108,51,157,77,118,64
"ENSG00000005448",173,143,237,155,148,96
